#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 23:16
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
P1PKAR01;Praha, Karlov;01.01.1961;31.12.2002;14.4186;50.0675;260.5
P1PKAR01;Praha, Karlov;01.01.2003;31.12.2023;14.427778;50.069167;260.5

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Pyranometr;01.01.1984;31.12.2023;1.5

PRVEK
Denní úhrn globálního záøení [RGLB_D.SUM, kJ/m2]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
1986;06;23;27266;
1986;06;24;24034;
1986;06;25;26730;
1986;06;26;26611;
1986;06;27;28408;
1986;06;28;24228;
1986;06;29;20106;
1986;06;30;19109;
1986;07;1;24167;
1986;07;2;25736;
1986;07;3;23144;
1986;07;4;23760;
1986;07;5;22604;
1986;07;6;9403;
1986;07;7;5915;
1986;07;8;10058;
1986;07;9;17813;
1986;07;10;9230;
1986;07;11;15203;
1986;07;12;17730;
1986;07;13;16852;
1986;07;14;21359;
1986;07;15;25297;
1986;07;16;18724;
1986;07;17;24098;
1986;07;18;8312;
1986;07;19;5234;
1986;07;20;12614;
1986;07;21;25182;
1986;07;22;17849;
1986;07;23;22313;
1986;07;24;6962;
1986;07;25;16222;
1986;07;26;12326;
1986;07;27;20225;
1986;07;28;23310;
1986;07;29;23090;
1986;07;30;16556;
1986;07;31;21312;
1986;08;1;8006;
1986;08;2;22694;
1986;08;3;24084;
1986;08;4;21611;
1986;08;5;14648;
1986;08;6;22457;
1986;08;7;23530;
1986;08;8;11354;
1986;08;9;22928;
1986;08;10;19688;
1986;08;11;18839;
1986;08;12;3859;
1986;08;13;13039;
1986;08;14;16844;
1986;08;15;19912;
1986;08;16;14202;
1986;08;17;16182;
1986;08;18;15332;
1986;08;19;8795;
1986;08;20;11462;
1986;08;21;17615;
1986;08;22;15804;
1986;08;23;3064;
1986;08;24;6646;
1986;08;25;13396;
1986;08;26;16682;
1986;08;27;9950;
1986;08;28;4914;
1986;08;29;10314;
1986;08;30;12863;
1986;08;31;8075;
1986;09;1;8363;
1986;09;2;7956;
1986;09;3;13277;
1986;09;4;10793;
1986;09;5;14900;
1986;09;6;15008;
1986;09;7;9738;
1986;09;8;19141;
1986;09;9;10372;
1986;09;10;12488;
1986;09;11;15070;
1986;09;12;8942;
1986;09;13;1775;
1986;09;14;9641;
1986;09;15;12056;
1986;09;16;5566;
1986;09;17;2470;
1986;09;18;2192;
1986;09;19;16085;
1986;09;20;16430;
1986;09;21;14796;
1986;09;22;12632;
1986;09;23;7214;
1986;09;24;9659;
1986;09;25;14274;
1986;09;26;14407;
1986;09;27;6764;
1986;09;28;11074;
1986;09;29;12787;
1986;09;30;13820;
1986;10;1;13831;
1986;10;2;12924;
1986;10;3;8759;
1986;10;4;10174;
1986;10;5;12755;
1986;10;6;8417;
1986;10;7;7513;
1986;10;8;2732;
1986;10;9;5098;
1986;10;10;11167;
1986;10;11;6577;
1986;10;12;8953;
1986;10;13;11196;
1986;10;14;9896;
1986;10;15;9655;
1986;10;16;10170;
1986;10;17;8348;
1986;10;18;5587;
1986;10;19;4680;
1986;10;20;5407;
1986;10;21;6775;
1986;10;22;3971;
1986;10;23;4867;
1986;10;24;6426;
1986;10;25;5731;
1986;10;26;2740;
1986;10;27;2891;
1986;10;28;8194;
1986;10;29;2326;
1986;10;30;7290;
1986;10;31;6048;
1986;11;1;3186;
1986;11;2;943;
1986;11;3;6052;
1986;11;4;3496;
1986;11;5;2833;
1986;11;6;1080;
1986;11;7;2948;
1986;11;8;7398;
1986;11;9;7240;
1986;11;10;5288;
1986;11;11;6196;
1986;11;12;5004;
1986;11;13;1541;
1986;11;14;1411;
1986;11;15;1051;
1986;11;16;3042;
1986;11;17;2304;
1986;11;18;3452;
1986;11;19;3499;
1986;11;20;3380;
1986;11;21;3478;
1986;11;22;1710;
1986;11;23;871;
1986;11;24;2920;
1986;11;25;2164;
1986;11;26;4381;
1986;11;27;3017;
1986;11;28;4255;
1986;11;29;907;
1986;11;30;529;
1986;12;1;3589;
1986;12;2;1598;
1986;12;3;3737;
1986;12;4;5245;
1986;12;5;4975;
1986;12;6;1458;
1986;12;7;2653;
1986;12;8;3935;
1986;12;9;1112;
1986;12;10;752;
1986;12;11;1177;
1986;12;12;2380;
1986;12;13;2239;
1986;12;14;1087;
1986;12;15;911;
1986;12;16;3064;
1986;12;17;3398;
1986;12;18;1030;
